Position,Number,Color,Name,Drills,Hex
56,351,,Coral,,#ED625B
57,352,,Coral - Light,,#F78372
58,353,,Peach,,#FDB4A1
59,355,,Terra Cotta - Dark,,#97382B
60,356,,Terra Cotta - Medium,,#BE5C4B
61,367,,Pistachio Green - Dark,,#446B45
62,368,,Pistachio Green - Light,,#7FC66D
63,369,,Pistachio Green - Very Light,,#CDEFA6
64,370,,Mustard - Medium,,#917245
65,371,,Mustard,,#9F8352
66,372,,Mustard - Light,,#AD9564
67,400,,Mahogany - Dark,,#813718
68,402,,Mahogany - Very Light,,#EF9E74
69,407,,Desert Sand - Dark,,#B77159
70,413,,Pewter Gray - Dark,,#4A4749
71,414,,Steel Gray - Dark,,#766E72
72,415,,Pearl Gray,,#B8B9BD
73,420,,Hazelnut Brown - Dark,,#855A30
74,422,,Hazelnut Brown - Light,,#C99A67
75,433,,Brown - Medium,,#73421E
76,434,,Brown - Light,,#8F5332
77,435,,Brown - Very Light,,#A96538
78,436,,Tan,,#C78559
79,437,,Tan - Light,,#DAA26F
80,444,,Lemon - Dark,,#F5BC13
81,445,,Lemon - Light,,#FCF999
82,451,,Shell Gray - Dark,,#887773
83,452,,Shell Gray - Medium,,#AD9994
84,453,,Shell Gray - Light,,#CCB8AA
85,469,,Avocado Green,,#5B6533
86,470,,Avocado Green - Light,,#72813E
87,471,,Avocado Green - Very Light,,#9EB357
88,472,,Avocado Green - Ultra Light,,#D1DE75
89,498,,Red - Dark,,#970B2C
90,500,,Blue Green - Very Dark,,#1D362A
91,501,,Blue Green - Dark,,#2F5446
92,502,,Blue Green,,#57826E
93,503,,Blue Green - Medium,,#89B89F
94,505,,Grass Green - Dark,,#338362
95,517,,Wedgewood - Dark,,#216285
96,518,,Wedgewood - Light,,#50819C
97,519,,Sky Blue,,#94B7CB
98,520,,Fern Green - Dark,,#384526
99,522,,Fern Green,,#808B6E
100,523,,Fern Green - Light,,#959F7A
101,524,,Fern Green - Very Light,,#AEA78E
102,535,,Ash Gray - Very Light,,#4B4B49
103,543,,Beige Brown - Ultra Very Light,,#EAD0B5
104,550,,Violet - Very Dark,,#580E5C
105,552,,Violet - Medium,,#902F99
106,553,,Violet,,#A449AC
107,554,,Violet - Light,,#DC9CDE
108,561,,Jade - Very Dark,,#285E48
109,562,,Jade - Medium,,#3B8C5A
110,563,,Jade - Light,,#6ED39A
111,564,,Jade - Very Light,,#95E4AF
112,580,,Moss Green - Dark,,#355F0B
113,581,,Moss Green,,#838A29
114,597,,Turquoise,,#52ADAB
115,598,,Turquoise - Light,,#97D8D3
116,600,,Cranberry - Very Dark,,#BF1C48
117,601,,Cranberry - Dark,,#C62A53
118,602,,Cranberry - Medium,,#D63F68
119,603,,Cranberry - Light Medium,,#FB4B7C
120,604,,Cranberry - Light,,#F793B2
121,605,,Cranberry - Very Light,,#FBACC4
122,606,,Orange-red - Bright,,#F70F00
123,608,,Orange - Bright,,#FD480C
124,610,,Drab Brown - Dark,,#6B5039
125,611,,Drab Brown,,#7C5F46
126,612,,Drab Brown - Light,,#A6885E
127,613,,Drab Brown - Very Light,,#B99F72
128,632,,Desert Sand - Ultra Very Dark,,#7F4232
129,640,,Beige Gray - Very Dark,,#817868
130,642,,Beige Gray - Dark,,#958D79
131,644,,Beige Gray - Medium,,#C4BEA6
132,645,,Beaver Gray - Very Dark,,#5D5D54
133,646,,Beaver Gray - Dark,,#6B6860
134,647,,Beaver Gray - Medium,,#908E85
135,648,,Beaver Gray - Light,,#A7A69F
136,666,,Red - Bright,,#CE1B33
137,676,,Old Gold - Light,,#ECBF7D
138,677,,Old Gold - Very Light,,#F2DC9F
139,680,,Old Gold - Dark,,#B07B46
140,699,,Green,,#075B26
141,700,,Green - Bright,,#076C34
142,701,,Green - Light,,#217C36
143,702,,Kelly Green,,#379130
144,703,,Chartreuse,,#63B330
145,704,,Chartreuse - Bright,,#88C53A
146,712,,Cream,,#F6EFDA
147,718,,Plum,,#CB2089
148,720,,Orange Spice - Dark,,#C83A24
149,721,,Orange Spice - Medium,,#F46440
150,722,,Orange Spice - Light,,#F98756
151,725,,Topaz,,#F9C15B
152,726,,Topaz - Light,,#FDDB63
153,727,,Topaz - Very Light,,#FDE98B
154,728,,Golden Yellow,,#F2AE3F
155,729,,Old Gold - Medium,,#CE9657
156,730,,Olive Green - Very Dark,,#63520B
157,732,,Olive Green,,#725C0C
158,733,,Olive Green - Medium,,#A78A44
159,734,,Olive Green - Light,,#BB9C54
160,738,,Tan - Very Light,,#E2B783
161,739,,Tan - Ultra Very Light,,#F2DEB9
162,740,,Tangerine,,#FD6F1A
163,741,,Tangerine - Medium,,#FC8B10
164,742,,Tangerine - Light,,#FDAE3C
165,743,,Yellow - Medium,,#FDD769
166,744,,Yellow - Pale,,#FEE88D
167,745,,Yellow - Light Pale,,#FEEBA5
168,746,,Off White,,#FAF2D5
169,747,,Sky Blue - Very Light,,#CEE9EA
170,754,,Peach - Light,,#F7C9B0
171,758,,Terra Cotta - Very Light,,#E99F83
172,760,,Salmon,,#EC8880
173,761,,Salmon - Light,,#F8B4AD
174,762,,Pearl Gray - Very Light,,#ECECEC
175,772,,Yellow Green - Very Light,,#D7EFA7
176,775,,Baby Blue - Very Light,,#D4E3EF
177,777,,Red - Deep,,#9B0042
178,778,,Antique Mauve - Very Light,,#DCA6A4
179,779,,Brown,,#53332D
180,780,,Topaz - Ultra Very Dark,,#945026
181,782,,Topaz - Dark,,#B26923
182,783,,Topaz - Medium,,#D0883D
183,791,,Cornflower Blue - Very Dark,,#2D2068
184,792,,Cornflower Blue - Dark,,#454B8B
185,793,,Cornflower Blue - Medium,,#7C82B5
186,794,,Cornflower Blue - Light,,#A0B2D7
187,796,,Royal Blue - Dark,,#272276
188,797,,Royal Blue,,#2B3288
189,798,,Delft Blue - Dark,,#4E5CA7
190,799,,Delft Blue - Medium,,#6B7FC0
191,800,,Delft Blue - Pale,,#B5C7E9
192,801,,Coffee Brown - Dark,,#60391D
193,803,,Blue - Deep,,#202754
194,807,,Peacock Blue,,#558B9E
195,809,,Delft Blue,,#919FD5
196,813,,Blue - Light,,#7FA0C6
197,814,,Garnet - Dark,,#711033
198,815,,Garnet - Medium,,#800B34
199,816,,Garnet,,#921238
200,817,,Coral Red - Very Dark,,#BB1630
201,818,,Baby Pink,,#FEDEDD
202,819,,Baby Pink - Light,,#FCEBDE
203,820,,Royal Blue - Very Dark,,#151264
204,822,,Beige Gray - Light,,#E8DFC7
205,823,,Blue - Dark,,#000B44
206,824,,Blue - Very Dark,,#284779
207,825,,Blue - Dark,,#34588F
208,826,,Blue - Medium,,#5075A7
209,827,,Blue - Very Light,,#A4C1DE
210,828,,Blue - Ultra Very Light,,#C3D7E6
211,829,,Golden Olive - Very Dark,,#64480C
212,830,,Golden Olive - Dark,,#6E501D
213,831,,Golden Olive - Medium,,#7C5F20
214,832,,Golden Olive,,#9C7230
215,833,,Golden Olive - Light,,#B99956
216,834,,Golden Olive - Very Light,,#D2B468
217,838,,Beige Brown - Very Dark,,#4A3021
218,839,,Beige Brown - Dark,,#5A3C2D
219,840,,Beige Brown - Medium,,#7A5939
220,841,,Beige Brown - Light,,#A37D64
221,842,,Beige Brown - Very Light,,#CBB094
222,844,,Beaver Gray - Ultra Dark,,#494842
223,869,,Hazelnut Brown - Very Dark,,#784C28
224,890,,Pistachio Green - Ultra Dark,,#324233
225,891,,Carnation - Dark,,#EE3246
226,892,,Carnation - Medium,,#F44753
227,893,,Carnation - Light,,#F66879
228,894,,Carnation - Very Light,,#FD95A3
229,895,,Hunter Green - Very Dark,,#344B2E
230,898,,Coffee Brown - Very Dark,,#532F1B
231,899,,Rose - Medium,,#EA6B78
232,900,,Burnt Orange - Dark,,#C63117
233,902,,Garnet - Very Dark,,#651329
234,904,,Parrot Green - Very Dark,,#386324
235,905,,Parrot Green - Dark,,#467924
236,906,,Parrot Green - Medium,,#6C9E29
237,907,,Parrot Green - Light,,#9DC72D
238,909,,Emerald Green - Very Dark,,#106B43
239,910,,Emerald Green - Dark,,#10814E
240,911,,Emerald Green - Medium,,#109256
241,912,,Emerald Green - Light,,#36B26B
242,913,,Nile Green - Medium,,#55CA7D
243,915,,Plum - Dark,,#95085A
244,917,,Plum - Medium,,#AC1071
245,918,,Red Copper - Dark,,#883630
246,919,,Red Copper,,#9B371B
247,920,,Copper - Medium,,#AB4836
248,921,,Copper,,#C0573D
249,922,,Copper - Light,,#DD6E4C
250,924,,Gray Green - Very Dark,,#384A4A
251,926,,Gray Green - Medium,,#617674
252,927,,Gray Green - Light,,#9FA8A5
253,928,,Gray Green - Very Light,,#C0C6C0
254,930,,Antique Blue - Dark,,#495C6B
255,931,,Antique Blue - Medium,,#667684
256,932,,Antique Blue - Light,,#93A0AF
257,934,,Avocado Green - BLACK,,#323324
258,935,,Avocado Green - Dark,,#383A2A
259,936,,Avocado Green - Very Dark,,#3F4227
260,937,,Avocado Green - Medium,,#434F2C
261,938,,Coffee Brown - Ultra Dark,,#45271A
262,939,,Blue - Very Dark,,#09092F
263,943,,Aquamarine - Medium,,#009A77
264,945,,Tawny,,#F6C19A
265,946,,Burnt Orange - Medium,,#ED4115
266,947,,Burnt Orange,,#FC4F16
267,948,,Peach - Very Light,,#FDE6D3
268,950,,Desert Sand - Light,,#E5AC8D
269,951,,Tawny - Light,,#FADDB6
270,954,,Nile Green,,#6FDA8A
271,955,,Nile Green - Light,,#A8EBAD
272,956,,Geranium,,#F7566D
273,957,,Geranium - Pale,,#FD99AF
274,958,,Seagreen - Dark,,#0DB294
275,959,,Seagreen - Medium,,#72D0B7
276,961,,Dusty Rose - Dark,,#DE586C
277,962,,Dusty Rose - Medium,,#EB7183
278,963,,Dusty Rose - Ultra Very Light,,#FDCCD1
279,964,,Seagreen - Light,,#A5E4D4
280,966,,Baby Green - Medium,,#94D28A
281,967,,Peach - Light,,#FFC2AC
282,970,,Pumpkin - Light,,#FB6721
283,972,,Canary - Deep,,#FB9F11
284,973,,Canary - Bright,,#FCCD2D
285,975,,Golden Brown - Dark,,#813C11
286,976,,Golden Brown - Medium,,#CF7532
287,977,,Golden Brown - Light,,#EC8F43
288,986,,Forest Green - Very Dark,,#2E5230
289,987,,Forest Green - Dark,,#436838
290,988,,Forest Green - Medium,,#66924A
291,989,,Forest Green,,#71A74E
292,991,,Aquamarine - Dark,,#135F55
293,992,,Aquamarine - Light,,#42B59E
294,993,,Aquamarine - Very Light,,#62D8B6
295,995,,Electric Blue - Dark,,#0061B0
296,996,,Electric Blue - Medium,,#49A8EB
297,3011,,Khaki Green - Dark,,#655935
298,3012,,Khaki Green - Medium,,#8B7B4E
299,3013,,Khaki Green - Light,,#AFA97B
300,3021,,Brown Gray - Very Dark,,#50403B
301,3022,,Brown Gray - Medium,,#848274
302,3023,,Brown Gray - Light,,#A29B86
303,3024,,Brown Gray - Very Light,,#BEB8AC
304,3031,,Mocha Brown - Very Dark,,#423014
305,3032,,Mocha Brown - Medium,,#9D8868
306,3033,,Mocha Brown - Very Light,,#DBC7AD
307,3041,,Antique Violet - Medium,,#866A76
308,3042,,Antique Violet - Light,,#AF98A0
309,3045,,Yellow Beige - Dark,,#AF8152
310,3046,,Yellow Beige - Medium,,#CEB074
311,3047,,Yellow Beige - Light,,#EAD8AB
312,3051,,Green Gray - Dark,,#4C4C1E
313,3052,,Green Gray - Medium,,#787E5C
314,3053,,Green Gray,,#999D75
315,3064,,Desert Sand,,#BA7056
316,3072,,Beaver Gray - Very Light,,#D2D2CA
317,3078,,Golden Yellow - Very Light,,#FCF6B6
318,3325,,Baby Blue - Light,,#ADCDE7
319,3326,,Rose - Light,,#F9979C
320,3328,,Salmon - Dark,,#BE444A
321,3340,,Apricot - Medium,,#FD6B4F
322,3341,,Apricot,,#FD8E78
323,3345,,Hunter Green - Dark,,#40552E
324,3346,,Hunter Green,,#56743B
325,3347,,Yellow Green - Medium,,#6D9646
326,3348,,Yellow Green - Light,,#BEDF74
327,3350,,Dusty Rose - Ultra Dark,,#AA3949
328,3354,,Dusty Rose - Light,,#EFA5AC
329,3362,,Pine Green - Dark,,#49523C
330,3363,,Pine Green - Medium,,#617451
331,3364,,Pine Green,,#8E9B6D
332,3371,,Black Brown,,#36220E
333,3607,,Plum - Light,,#D94C9D
334,3608,,Plum - Very Light,,#EC81BE
335,3609,,Plum - Ultra Light,,#F6B0DF
336,3685,,Mauve - Very Dark,,#79263B
337,3687,,Mauve,,#B5455D
338,3688,,Mauve - Medium,,#DC7C86
339,3689,,Mauve - Light,,#F8BBC8
340,3705,,Melon - Dark,,#F2494F
341,3706,,Melon - Medium,,#FD6E70
342,3708,,Melon - Light,,#FDA0AE
343,3712,,Salmon - Medium,,#D95D5D
344,3713,,Salmon - Very Light,,#FDD5D0
345,3716,,Dusty Rose - Very Light,,#FCAFB9
346,3721,,Shell Pink - Dark,,#933B3D
347,3722,,Shell Pink - Medium,,#A04B4C
348,3726,,Antique Mauve - Dark,,#95565C
349,3727,,Antique Mauve - Light,,#DA9EA6
350,3731,,Dusty Rose - Very Dark,,#C34C5C
351,3733,,Dusty Rose,,#EA7E86
352,3740,,Antique Violet - Dark,,#71535D
353,3743,,Antique Violet - Very Light,,#CFC2C9
354,3746,,Blue Violet - Dark,,#844AB5
355,3747,,Blue Violet - Very Light,,#D0C5EC
356,3750,,Antique Blue - Very Dark,,#1D4552
357,3752,,Antique Blue - Very Light,,#BAC9CC
358,3753,,Antique Blue - Ultra Very Light,,#D9E6EC
359,3755,,Baby Blue,,#81A5D8
360,3756,,Baby Blue - Light,,#E9F4FA
361,3760,,Wedgewood - Medium,,#467293
362,3761,,Sky Blue - Light,,#B1D0DF
363,3765,,Peacock Blue - Very Dark,,#175E78
364,3766,,Peacock Blue - Light,,#4B8AA1
365,3768,,Gray Green - Dark,,#4C605F
366,3770,,Tawny - Very Light,,#FEF1D8
367,3771,,Peach - Dark,,#E8AC9B
368,3772,,Desert Sand - Very Dark,,#995744
369,3774,,Desert Sand - Very Light,,#F3CFB4
370,3776,,Mahogany - Light,,#C96444
371,3777,,Terra Cotta - Very Dark,,#922F25
372,3778,,Terra Cotta - Light,,#D2705C
373,3779,,Terra Cotta - Ultra Very Light,,#F2AB95
374,3781,,Mocha Brown - Dark,,#593F2B
375,3782,,Mocha Brown - Light,,#B69D80
376,3787,,Brown Gray - Dark,,#62524C
377,3790,,Beige Gray - Ultra Dark,,#6D5A4B
378,3799,,Pewter Gray - Very Dark,,#39393D
379,3801,,Melon - Very Dark,,#E4353D
380,3802,,Antique Mauve - Very Dark,,#672A33
381,3803,,Mauve - Dark,,#872A43
382,3804,,Cyclamen Pink - Dark,,#CE2B63
383,3805,,Cyclamen Pink,,#DF3C73
384,3806,,Cyclamen Pink - Light,,#F15A91
385,3807,,Cornflower Blue,,#4B599E
386,3808,,Turquoise - Ultra Very Dark,,#03535C
387,3809,,Turquoise - Very Dark,,#136A75
388,3810,,Turquoise - Dark,,#2D8D98
389,3811,,Turquoise - Very Light,,#A8E2E5
390,3812,,Seagreen - Very Dark,,#07A184
391,3813,,Blue Green - Light,,#86C3AB
392,3814,,Aquamarine,,#0B8673
393,3815,,Celadon Green - Dark,,#437259
394,3816,,Celadon Green,,#60937A
395,3817,,Celadon Green - Light,,#81C6A4
396,3818,,Emerald Green - Ultra Very Dark,,#005D2E
397,3819,,Moss Green - Light,,#CCC959
398,3820,,Straw - Dark,,#DBA53E
399,3821,,Straw,,#EBBB52
400,3822,,Straw - Light,,#F7D169
401,3823,,Yellow - Ultra Pale,,#FEF5CD
402,3824,,Apricot - Light,,#FCAE99
403,3825,,Pumpkin - Pale,,#FEA370
404,3826,,Golden Brown,,#B16633
405,3827,,Golden Brown - Pale,,#EAA664
406,3828,,Hazelnut Brown,,#AA7C43
407,3829,,Old Gold - Very Dark,,#A7671D
408,3830,,Terra Cotta,,#A94138
409,3831,,Raspberry - Dark,,#C12B52
410,3832,,Raspberry - Medium,,#E36370
411,3833,,Raspberry - Light,,#EA8B96
412,3834,,Grape - Dark,,#6A2258
413,3835,,Grape - Medium,,#924D78
414,3836,,Grape - Light,,#C597B9
415,3837,,Lavender - Ultra Dark,,#8A2A8F
416,3838,,Lavender Blue - Dark,,#606BAD
417,3839,,Lavender Blue - Medium,,#7A7EC5
418,3840,,Lavender Blue - Light,,#B2BDEA
419,3841,,Baby Blue - Pale,,#D9EAF2
420,3842,,Wedgewood - Dark,,#06506A
421,3843,,Electric Blue,,#28A3DE
422,3844,,Bright Turquoise - Dark,,#1F7FA0
423,3845,,Bright Turquoise - Medium,,#2BADD1
424,3846,,Bright Turquoise - Light,,#5ECCEC
425,3847,,Teal Green - Dark,,#186358
426,3848,,Teal Green - Medium,,#207E72
427,3849,,Teal Green - Light,,#35B193
428,3850,,Bright Green - Dark,,#208B46
429,3851,,Bright Green - Light,,#61BB84
430,3852,,Straw - Very Dark,,#E3A730
431,3853,,Autumn Gold - Dark,,#EF8125
432,3854,,Autumn Gold - Medium,,#FBAC56
433,3855,,Autumn Gold - Light,,#FDDFA0
434,3856,,Mahogany - Ultra Very Light,,#FDBE8E
435,3857,,Rosewood - Dark,,#6A2F26
436,3858,,Rosewood - Medium,,#803A32
437,3859,,Rosewood - Light,,#BA7A6C
438,3860,,Cocoa,,#896362
439,3861,,Cocoa - Light,,#AC8583
440,3862,,Mocha Beige - Dark,,#6E492A
441,3863,,Mocha Beige - Medium,,#94725D
442,3864,,Mocha Beige - Light,,#C9AA92
443,3865,,Winter White,,#F8F9F4
444,3866,,Mocha Brown - Ultra Very Light,,#F0E6D7
445,5200,,Snow White,,#FFFFFF
446,Ecru,,Ecru/off-white,,#FFF7E7
447,White,,White,,#FCFCFF
